Building/  Project Name,Street Name,Postal District,Type,No. of Bedroom  (for Non-Landed Only),Monthly Rent  ($),Floor Area (Sqft)  1,Lease  Commencement  Date
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2750,500 to 600,May-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2500,500 to 600,Apr-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2700,500 to 600,Apr-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2550,500 to 600,Apr-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2600,500 to 600,Apr-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2700,500 to 600,Apr-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,2,3500,800 to 900,Apr-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2700,500 to 600,Apr-21
VICTORY 8,JALAN LEGUNDI,27,Non-landed Properties,1,1938,300 to 400,Apr-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,3000,500 to 600,Apr-21
VICTORY 8,JALAN LEGUNDI,27,Non-landed Properties,1,4436,600 to 700,Apr-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,2,3400,800 to 900,Mar-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2650,500 to 600,Mar-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2500,500 to 600,Mar-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2800,500 to 600,Feb-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2800,500 to 600,Feb-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,2,3550,800 to 900,Feb-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2900,500 to 600,Feb-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,2,3700,800 to 900,Feb-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2500,500 to 600,Jan-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,2,3300,800 to 900,Jan-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2600,500 to 600,Jan-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2680,500 to 600,Jan-21
VICTORY POINT,AVA ROAD,12,Non-landed Properties,,20700,>3000,Jan-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,1,2500,500 to 600,Jan-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,2,3500,800 to 900,Jan-21
VIDA,PECK HAY ROAD,9,Non-landed Properties,2,3500,800 to 900,Jan-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,1,1700,400 to 500,Jun-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,1,1700,400 to 500,Jun-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,3600,800 to 900,Jun-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,2900,800 to 900,May-21
VILLA AZURA,CHERRY AVENUE,10,Non-landed Properties,3,3500,1400 to 1500,May-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,3,3200,1000 to 1100,May-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,3,3450,1000 to 1100,May-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,1,1700,400 to 500,May-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,1,1800,400 to 500,May-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,1,2000,400 to 500,Apr-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,2,2100,500 to 600,Apr-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,2300,500 to 600,Apr-21
VILLA AZURA,CHERRY AVENUE,10,Non-landed Properties,3,3350,1300 to 1400,Apr-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,2100,400 to 500,Apr-21
VILLA AZURA,CHERRY AVENUE,10,Non-landed Properties,3,3200,1300 to 1400,Apr-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,3400,800 to 900,Apr-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,2,2000,500 to 600,Apr-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,2500,500 to 600,Apr-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,2350,500 to 600,Mar-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,2400,400 to 500,Feb-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,2,2200,700 to 800,Feb-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,2200,400 to 500,Jan-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,1,1600,400 to 500,Jan-21
VIENTO,LORONG 30 GEYLANG,14,Non-landed Properties,1,1700,400 to 500,Jan-21
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-landed Properties,2,2300,500 to 600,Jan-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,2,3200,1000 to 1100,Jun-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,6650,2800 to 2900,Jun-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1300 to 1400,Jun-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8000,>3000,Jun-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,2,3200,1400 to 1500,May-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7500,2900 to 3000,May-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8200,>3000,May-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7500,2700 to 2800,May-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8600,>3000,May-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,2,2450,1000 to 1100,May-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7500,2900 to 3000,May-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8300,>3000,Apr-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,2,2380,900 to 1000,Apr-21
VILLA CHANCERY,CHANCERY LANE,11,Terrace House,,6600,2500 to 3000,Apr-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1600 to 1700,Apr-21
VILLA CHANCERY,CHANCERY LANE,11,Terrace House,,5000,2000 to 2500,Apr-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,3,3450,1300 to 1400,Apr-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7000,2700 to 2800,Apr-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7000,2700 to 2800,Apr-21
VILLA CHANCERY,CHANCERY LANE,11,Terrace House,,5500,2000 to 2500,Mar-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,2,2850,1100 to 1200,Mar-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7400,2800 to 2900,Mar-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8600,>3000,Mar-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7400,>3000,Mar-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,6800,2700 to 2800,Mar-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8200,2800 to 2900,Mar-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8000,>3000,Mar-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,2,2700,900 to 1000,Feb-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7200,2700 to 2800,Feb-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,2,2800,1000 to 1100,Feb-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8500,>3000,Feb-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7800,>3000,Feb-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,3,4300,1900 to 2000,Jan-21
VILLA DE WEST,PASIR PANJANG ROAD,5,Non-landed Properties,2,2900,1000 to 1100,Jan-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,9000,>3000,Jan-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8500,>3000,Jan-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7250,2700 to 2800,Jan-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,8200,>3000,Jan-21
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-landed Properties,3,7350,>3000,Jan-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3100,2000 to 2100,Jun-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,2600,1100 to 1200,Jun-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,4000,1200 to 1300,Jun-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3600,1600 to 1700,Jun-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,4000,1200 to 1300,Jun-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,3000,1200 to 1300,Jun-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,4,4500,2000 to 2100,Jun-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3300,1600 to 1700,May-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3250,1100 to 1200,May-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3800,1300 to 1400,May-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,4000,1200 to 1300,May-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,3250,1500 to 1600,May-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3850,1200 to 1300,May-21
VILLA MARTIA,MARTIA ROAD,15,Non-landed Properties,3,3000,1300 to 1400,May-21
VILLA VERDE,VERDE AVENUE,23,Terrace House,,3300,1500 to 2000,Apr-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,3200,1200 to 1300,Apr-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3200,1100 to 1200,Apr-21
VILLA DES FLORES,WHITLEY ROAD,11,Non-landed Properties,2,3800,1500 to 1600,Apr-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3600,1200 to 1300,Apr-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3900,1200 to 1300,Apr-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3300,1200 to 1300,Apr-21
VILLA VERDE,VERDE GROVE,23,Terrace House,,4000,2000 to 2500,Apr-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3700,1200 to 1300,Mar-21
VILLA VERDE,VERDE PLACE,23,Terrace House,,3500,1500 to 2000,Mar-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3850,1600 to 1700,Mar-21
VILLA DES FLORES,WHITLEY ROAD,11,Non-landed Properties,3,3000,1900 to 2000,Mar-21
VILLA MARTIA,MARTIA ROAD,15,Non-landed Properties,3,3000,1200 to 1300,Mar-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,2900,1100 to 1200,Mar-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3200,1200 to 1300,Feb-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3300,1200 to 1300,Feb-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3300,1400 to 1500,Feb-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,2800,1000 to 1100,Feb-21
VILLA DES FLORES,WHITLEY ROAD,11,Non-landed Properties,3,3700,1900 to 2000,Feb-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,4,4550,2000 to 2100,Feb-21
VILLA MARTIA,MARTIA ROAD,15,Non-landed Properties,3,3000,1200 to 1300,Feb-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,3100,1500 to 1600,Feb-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,2600,1100 to 1200,Jan-21
VILLA DES FLORES,WHITLEY ROAD,11,Non-landed Properties,2,2800,1300 to 1400,Jan-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,2900,1100 to 1200,Jan-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3300,1200 to 1300,Jan-21
VILLA MARTIA,MARTIA ROAD,15,Non-landed Properties,3,3050,1200 to 1300,Jan-21
VILLA MARTIA,MARTIA ROAD,15,Non-landed Properties,1,1600,700 to 800,Jan-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,2700,1100 to 1200,Jan-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,3,3500,1600 to 1700,Jan-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,2700,1100 to 1200,Jan-21
VILLA MARINA,JALAN SEMPADAN,15,Non-landed Properties,2,3000,1100 to 1200,Jan-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2800,800 to 900,Jun-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1000 to 1100,Jun-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3350,1300 to 1400,Jun-21
VILLAGE TOWER,MOUNT SINAI RISE,10,Non-landed Properties,4,6800,2600 to 2700,Jun-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2700,800 to 900,Jun-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2800,800 to 900,Jun-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2750,800 to 900,May-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,3100,1000 to 1100,May-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2900,800 to 900,May-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,4,3600,1300 to 1400,May-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1000 to 1100,May-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3400,900 to 1000,May-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,3100,1000 to 1100,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3850,1400 to 1500,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,3350,800 to 900,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3300,1000 to 1100,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2750,800 to 900,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2800,800 to 900,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3000,1000 to 1100,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3550,1000 to 1100,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3000,900 to 1000,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3100,1000 to 1100,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2900,800 to 900,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2600,800 to 900,Apr-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3400,1000 to 1100,Mar-21
VILLAGE TOWER,MOUNT SINAI RISE,10,Non-landed Properties,3,5500,1800 to 1900,Mar-21
VILLAGE TOWER,MOUNT SINAI RISE,10,Non-landed Properties,4,6250,2600 to 2700,Mar-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,2900,800 to 900,Mar-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3400,1200 to 1300,Mar-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3300,1100 to 1200,Feb-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1000 to 1100,Feb-21
VILLAGE TOWER,MOUNT SINAI RISE,10,Non-landed Properties,3,5000,1800 to 1900,Jan-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,2,3300,800 to 900,Jan-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3150,1000 to 1100,Jan-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3600,1000 to 1100,Jan-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1200 to 1300,Jan-21
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1000 to 1100,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4500,900 to 1000,Jun-21
VILLE ROYALE,RIVER VALLEY ROAD,9,Non-landed Properties,3,3800,1100 to 1200,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5100,1100 to 1200,Jun-21
VISIN APARTMENTS,SURREY ROAD,11,Non-landed Properties,,3400,1000 to 1100,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4300,900 to 1000,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5400,1100 to 1200,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5400,1200 to 1300,Jun-21
VILLE ROYALE,RIVER VALLEY ROAD,9,Non-landed Properties,3,3400,1000 to 1100,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,4800,1100 to 1200,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5700,1200 to 1300,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4300,900 to 1000,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4700,900 to 1000,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3200,600 to 700,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,3500,900 to 1000,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4800,900 to 1000,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,6500,1100 to 1200,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3400,600 to 700,Jun-21
VILLE ROYALE,RIVER VALLEY ROAD,9,Non-landed Properties,3,3700,1300 to 1400,Jun-21
VILLE ROYALE,RIVER VALLEY ROAD,9,Non-landed Properties,3,4200,1300 to 1400,Jun-21
VISIN APARTMENTS,SURREY ROAD,11,Non-landed Properties,,3500,1000 to 1100,Jun-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3350,600 to 700,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4300,900 to 1000,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4700,900 to 1000,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,3900,900 to 1000,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4100,1000 to 1100,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5000,1100 to 1200,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4000,1300 to 1400,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,2900,500 to 600,May-21
VISIN APARTMENTS,SURREY ROAD,11,Non-landed Properties,,3100,1000 to 1100,May-21
VILLE ROYALE,RIVER VALLEY ROAD,9,Non-landed Properties,3,3600,1100 to 1200,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4300,800 to 900,May-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3300,600 to 700,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4800,900 to 1000,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,2800,700 to 800,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3600,700 to 800,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3400,700 to 800,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5200,1200 to 1300,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3400,700 to 800,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4500,900 to 1000,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4500,800 to 900,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5500,1200 to 1300,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5500,1100 to 1200,Apr-21
VINA LODGE,SIRAT ROAD,19,Non-landed Properties,3,2750,1300 to 1400,Apr-21
VILLE ROYALE,RIVER VALLEY ROAD,9,Non-landed Properties,3,4100,1300 to 1400,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4000,900 to 1000,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5050,1200 to 1300,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4200,900 to 1000,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4200,900 to 1000,Apr-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5500,1600 to 1700,Mar-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4400,900 to 1000,Mar-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4300,900 to 1000,Mar-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,3800,900 to 1000,Mar-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3100,700 to 800,Mar-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3500,600 to 700,Mar-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4100,900 to 1000,Mar-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3300,700 to 800,Mar-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3200,700 to 800,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5100,1200 to 1300,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4200,900 to 1000,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4000,900 to 1000,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4300,900 to 1000,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3000,600 to 700,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,3750,900 to 1000,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,5500,1100 to 1200,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,6000,1200 to 1300,Feb-21
VILLE ROYALE,RIVER VALLEY ROAD,9,Non-landed Properties,3,3900,1200 to 1300,Feb-21
VISIN APARTMENTS,SURREY ROAD,11,Non-landed Properties,,3100,1000 to 1100,Feb-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,4900,1100 to 1200,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4250,900 to 1000,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4000,900 to 1000,Jan-21
VILLAS LAGUNA,UPPER EAST COAST ROAD,16,Non-landed Properties,3,2700,1500 to 1600,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,3,4800,1100 to 1200,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,3800,900 to 1000,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,3800,800 to 900,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,3400,900 to 1000,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,3700,900 to 1000,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4300,900 to 1000,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,2700,700 to 800,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,1,2750,600 to 700,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4500,900 to 1000,Jan-21
VISIONCREST,OXLEY RISE,9,Non-landed Properties,2,4000,900 to 1000,Jan-21
VISIN APARTMENTS,SURREY ROAD,11,Non-landed Properties,,3000,1000 to 1100,Jan-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,1,2200,600 to 700,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,4,4700,1400 to 1500,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,4000,1100 to 1200,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,4,3600,1300 to 1400,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,4200,1100 to 1200,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,4,4800,1400 to 1500,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,3500,1100 to 1200,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,2,3200,900 to 1000,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,4000,1100 to 1200,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,2,3250,900 to 1000,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,2,3000,900 to 1000,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,1,2400,600 to 700,Jun-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,1,2850,600 to 700,May-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,3500,1200 to 1300,May-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,3400,1100 to 1200,May-21
VISTA GARDEN,TOH TUCK CRESCENT,21,Terrace House,,2700,1500 to 2000,May-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,1,2400,600 to 700,May-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,4,5000,1300 to 1400,May-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,3800,1200 to 1300,May-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,4100,1200 to 1300,May-21
VISTA RESIDENCES,JALAN DATOH,12,Non-landed Properties,3,4200,1200 to 1300,May-21
